Sector,Element,Hazard,Disaster Risk Aspect,Detail
Agriculture,Crops,All Hazards,Adaptive Capacity,Social_Score
Agriculture,Crops,All Hazards,Adaptive Capacity,Technology_Description_IEC
Agriculture,Crops,All Hazards,Adaptive Capacity,Technology_Description_IEC ON CLIMATE SMART AGRICULTURE
Agriculture,Crops,All Hazards,Adaptive Capacity,Technology_Description_ORGANIC AGRICULTURE TECHNOLOGY
Agriculture,Crops,All Hazards,Adaptive Capacity,Technology_Description_RESEARCH STUDY ON FLOOD RESILIENT VARIETY
Agriculture,Crops,All Hazards,Adaptive Capacity,Technology_Description_RESEARCH STUDY ON SALINITY RESILIENT VARIETY
Agriculture,Crops,All Hazards,Adaptive Capacity,Technology_Score
Agriculture,Crops,All Hazards,Adaptive Capacity,Wealth_Description_PCIC
Agriculture,Crops,All Hazards,Adaptive Capacity,Wealth_Description_REHAB SEEDS FROM DEPARTMENT OF AGRICULTURE
Agriculture,Crops,All Hazards,Adaptive Capacity,Wealth_Description_SURE AID LOAN
Agriculture,Crops,All Hazards,Adaptive Capacity,Wealth_Description_SURE LOAN
Agriculture,Crops,All Hazards,Adaptive Capacity,Wealth_Score
Agriculture,Crops,All Hazards,Exposure,Area Of Agricultural Lands (Hectares)
Agriculture,Crops,All Hazards,Exposure,Average Income Per Hectare Per Year (Php)
Agriculture,Crops,All Hazards,Exposure,No Households Dependent On Agriculture
Agriculture,Crops,All Hazards,Exposure,Variety Of Commodity
Agriculture,Crops,All Hazards,Sensitivity,No Of Farming Households
Agriculture,Crops,All Hazards,Sensitivity,No Of Farming Households_Score
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Areas Without Infrastructure Coverage
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Areas Without Infrastructure Coverage_Score
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Areas Without Irrigation Coverage
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Areas Without Irrigation Coverage_Score
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Families Using Sustainable Production Techniques
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Families Using Sustainable Production Techniques_Score
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Farmers Without Access To Hazard Information
Agriculture,Crops,All Hazards,Sensitivity,Percentage Of Farmers Without Access To Hazard Information_Score
Agriculture,Crops,All Hazards,Sensitivity,Sensitivity Score
Agriculture,Crops,Drought,Degree of Impact,Degree Of Impact Category
Agriculture,Crops,Drought,Degree of Impact,Degree Of Impact Score
Agriculture,Crops,Drought,Exposure,% Of Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Drought,Exposure,Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Drought,Exposure,Exposure Score
Agriculture,Crops,Drought,Exposure,Geographical Area Or Ecosystem
Agriculture,Crops,Drought,Hazard,Likelihood Of Occurrence
Agriculture,Crops,Drought,Hazard,Magnitude Or Depth
Agriculture,Crops,Drought,Overall Risk,Risk Category
Agriculture,Crops,Drought,Overall Risk,Risk Score
Agriculture,Crops,Drought,Overall Risk,Severity Of Consequence Score
Agriculture,Crops,Drought,Overall Risk,Vulnerability Category
Agriculture,Crops,Drought,Overall Risk,Vulnerability Score
Agriculture,Crops,Flood,Degree of Impact,Degree Of Impact Category
Agriculture,Crops,Flood,Degree of Impact,Degree Of Impact Score
Agriculture,Crops,Flood,Exposure,% Of Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Flood,Exposure,Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Flood,Exposure,Exposure Score
Agriculture,Crops,Flood,Exposure,Geographical Area Or Ecosystem
Agriculture,Crops,Flood,Hazard,Likelihood Of Occurrence
Agriculture,Crops,Flood,Hazard,Magnitude Or Depth
Agriculture,Crops,Flood,Overall Risk,Risk Category
Agriculture,Crops,Flood,Overall Risk,Risk Score
Agriculture,Crops,Flood,Overall Risk,Severity Of Consequence Score
Agriculture,Crops,Flood,Overall Risk,Vulnerability Category
Agriculture,Crops,Flood,Overall Risk,Vulnerability Score
Agriculture,Crops,Rain-Induced Landslide,Degree of Impact,Degree Of Impact Category
Agriculture,Crops,Rain-Induced Landslide,Degree of Impact,Degree Of Impact Score
Agriculture,Crops,Rain-Induced Landslide,Exposure,% Of Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Rain-Induced Landslide,Exposure,Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Rain-Induced Landslide,Exposure,Exposure Score
Agriculture,Crops,Rain-Induced Landslide,Exposure,Geographical Area Or Ecosystem
Agriculture,Crops,Rain-Induced Landslide,Hazard,Likelihood Of Occurrence
Agriculture,Crops,Rain-Induced Landslide,Hazard,Magnitude Or Depth
Agriculture,Crops,Rain-Induced Landslide,Overall Risk,Risk Category
Agriculture,Crops,Rain-Induced Landslide,Overall Risk,Risk Score
Agriculture,Crops,Rain-Induced Landslide,Overall Risk,Severity Of Consequence Score
Agriculture,Crops,Rain-Induced Landslide,Overall Risk,Vulnerability Category
Agriculture,Crops,Rain-Induced Landslide,Overall Risk,Vulnerability Score
Agriculture,Crops,Sea Level Rise,Degree of Impact,Degree Of Impact Category
Agriculture,Crops,Sea Level Rise,Degree of Impact,Degree Of Impact Score
Agriculture,Crops,Sea Level Rise,Exposure,% Of Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Sea Level Rise,Exposure,Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Sea Level Rise,Exposure,Exposure Score
Agriculture,Crops,Sea Level Rise,Exposure,Geographical Area Or Ecosystem
Agriculture,Crops,Sea Level Rise,Hazard,Likelihood Of Occurrence
Agriculture,Crops,Sea Level Rise,Hazard,Magnitude Or Depth
Agriculture,Crops,Sea Level Rise,Overall Risk,Risk Category
Agriculture,Crops,Sea Level Rise,Overall Risk,Risk Score
Agriculture,Crops,Sea Level Rise,Overall Risk,Severity Of Consequence Score
Agriculture,Crops,Sea Level Rise,Overall Risk,Vulnerability Category
Agriculture,Crops,Sea Level Rise,Overall Risk,Vulnerability Score
Agriculture,Crops,Storm Surge,Degree of Impact,Degree Of Impact Category
Agriculture,Crops,Storm Surge,Degree of Impact,Degree Of Impact Score
Agriculture,Crops,Storm Surge,Exposure,% Of Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Storm Surge,Exposure,Exposed Agricultural Lands (Hectares)
Agriculture,Crops,Storm Surge,Exposure,Exposure Score
Agriculture,Crops,Storm Surge,Exposure,Geographical Area Or Ecosystem
Agriculture,Crops,Storm Surge,Hazard,Likelihood Of Occurrence
Agriculture,Crops,Storm Surge,Hazard,Magnitude Or Depth
Agriculture,Crops,Storm Surge,Overall Risk,Risk Category
Agriculture,Crops,Storm Surge,Overall Risk,Risk Score
Agriculture,Crops,Storm Surge,Overall Risk,Severity Of Consequence Score
Agriculture,Crops,Storm Surge,Overall Risk,Vulnerability Category
Agriculture,Crops,Storm Surge,Overall Risk,Vulnerability Score
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Adaptive Capacity Score
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Capacity Or Willingness To Retrofit Or Relocate_Description
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Capacity Or Willingness To Retrofit Or Relocate_Score
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Government Investments_Description_AQUA-BASED FOOD PROCESSING FACILITY
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Government Investments_Description_COMMUNITY FISH LANDING CENTER
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Government Investments_Description_CONTINGENCY PLAN
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Government Investments_Description_DRRMP
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Government Investments_Description_FORCED EVACUATION ORDINANCE
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Government Investments_Score
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Information_Description_RADIO AND TV ANNOUNCEMENT
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Information_Description_SOCIAL MEDIA (FACEBOOK; INSTAGRAM)
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Information_Description_TEXT MESSAGE
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Information_Score
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Technology_Description_IEC
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Technology_Description_RESEARCH STUDIES ON SPECIES SUITABILITY
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Technology_Description_TECHNO- DEMO ON FISHERY - AQUACULTURE TECHNOLOGY ADAPTATION
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Technology_Score
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Wealth_Description_FINGERLING DISPERSAL
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Wealth_Description_PCIC
Agriculture,Fisheries,All Hazards,Adaptive Capacity,Wealth_Score
Agriculture,Fisheries,All Hazards,Exposure,Bangus_Ave Output Per Hectare (Mt) Fish Culture
Agriculture,Fisheries,All Hazards,Exposure,Bangus_Ave Output Per Hectare (Php)
Agriculture,Fisheries,All Hazards,Exposure,No Of Affected Fish Sanctuaries
Agriculture,Fisheries,All Hazards,Exposure,No Of Commercial Fishermen
Agriculture,Fisheries,All Hazards,Exposure,No Of Fish Ports (slash) Storage Facilities
Agriculture,Fisheries,All Hazards,Exposure,No Of Fisheries-Dependent Households
Agriculture,Fisheries,All Hazards,Exposure,No Of Hectares For Aquaculture
Agriculture,Fisheries,All Hazards,Exposure,No Of Hectares Of Mangrove Areas
Agriculture,Fisheries,All Hazards,Exposure,No Of Municipal Fisherfolk
Agriculture,Fisheries,All Hazards,Exposure,Tilapia_Ave Output Per Hectare (Mt) Fish Culture
Agriculture,Fisheries,All Hazards,Exposure,Tilapia_Ave Output Per Hectare (Php)
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Access To Hazard Information
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Access To Hazard Information_Score
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Access To Market
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Access To Market_Score
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Alternative Livelihoods
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Alternative Livelihoods_Score
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Their Own Boats And Fishing Nets
Agriculture,Fisheries,All Hazards,Sensitivity,Percentage Of Fishermen Without Their Own Boats And Fishing Nets_Score
Agriculture,Fisheries,All Hazards,Sensitivity,Sensitivity Score
Agriculture,Fisheries,Rain-Induced Landslide,Degree of Impact,Degree Of Impact Category
Agriculture,Fisheries,Rain-Induced Landslide,Degree of Impact,Degree Of Impact Score
Agriculture,Fisheries,Rain-Induced Landslide,Exposure,Exposed Area
Agriculture,Fisheries,Rain-Induced Landslide,Exposure,Exposure Score
Agriculture,Fisheries,Rain-Induced Landslide,Exposure,Geographical Area Or Ecosystem
Agriculture,Fisheries,Rain-Induced Landslide,Exposure,Percentage Of Exposed Areas
Agriculture,Fisheries,Rain-Induced Landslide,Hazard,Likelihood Of Occurrence
Agriculture,Fisheries,Rain-Induced Landslide,Hazard,Magnitude Or Depth
Agriculture,Fisheries,Rain-Induced Landslide,Overall Risk,Risk Category
Agriculture,Fisheries,Rain-Induced Landslide,Overall Risk,Risk Score
Agriculture,Fisheries,Rain-Induced Landslide,Overall Risk,Severity Of Consequence Score
Agriculture,Fisheries,Rain-Induced Landslide,Overall Risk,Vulnerability Category
Agriculture,Fisheries,Rain-Induced Landslide,Overall Risk,Vulnerability Score
Agriculture,Fisheries,Sea Level Rise,Degree of Impact,Degree Of Impact Category
Agriculture,Fisheries,Sea Level Rise,Degree of Impact,Degree Of Impact Score
Agriculture,Fisheries,Sea Level Rise,Exposure,Exposed Area
Agriculture,Fisheries,Sea Level Rise,Exposure,Exposure Score
Agriculture,Fisheries,Sea Level Rise,Exposure,Geographical Area Or Ecosystem
Agriculture,Fisheries,Sea Level Rise,Exposure,Percentage Of Exposed Areas
Agriculture,Fisheries,Sea Level Rise,Hazard,Likelihood Of Occurrence
Agriculture,Fisheries,Sea Level Rise,Overall Risk,Risk Category
Agriculture,Fisheries,Sea Level Rise,Overall Risk,Risk Score
Agriculture,Fisheries,Sea Level Rise,Overall Risk,Severity Of Consequence Score
Agriculture,Fisheries,Sea Level Rise,Overall Risk,Vulnerability Category
Agriculture,Fisheries,Sea Level Rise,Overall Risk,Vulnerability Score
Agriculture,Fisheries,Storm Surge,Degree of Impact,Degree Of Impact Category
Agriculture,Fisheries,Storm Surge,Degree of Impact,Degree Of Impact Score
Agriculture,Fisheries,Storm Surge,Exposure,Exposed Area
Agriculture,Fisheries,Storm Surge,Exposure,Exposure Score
Agriculture,Fisheries,Storm Surge,Exposure,Geographical Area Or Ecosystem
Agriculture,Fisheries,Storm Surge,Exposure,Percentage Of Exposed Areas
Agriculture,Fisheries,Storm Surge,Hazard,Likelihood Of Occurrence
Agriculture,Fisheries,Storm Surge,Overall Risk,Risk Category
Agriculture,Fisheries,Storm Surge,Overall Risk,Risk Score
Agriculture,Fisheries,Storm Surge,Overall Risk,Severity Of Consequence Score
Agriculture,Fisheries,Storm Surge,Overall Risk,Vulnerability Category
Agriculture,Fisheries,Storm Surge,Overall Risk,Vulnerability Score
Agriculture,Livestock,All Hazards,Adaptive Capacity,Adaptive Capacity Score
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Description_IEC MATERIAL
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Description_PRIMITIVE EARLY WARNING SYSTEM (BATINGAW; BELL; KAMPANA)
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Description_RADIO
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Description_SIGNAGE
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Description_SOCIAL MEDIA
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Description_TEXT MESSAGE
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Description_TV
Agriculture,Livestock,All Hazards,Adaptive Capacity,Information_Score
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_CORN MILL
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_CORN SHELLER
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_FLOATING TILLER
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_FOUR WHEEL DRIVE TRACTOR
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_HAND TRACTOR
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_MANUAL THRESHER
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_MECHANICAL DRYER
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_MECHANICAL THRESHER
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_MPDP
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_REAPER
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Description_RICE MILL
Agriculture,Livestock,All Hazards,Adaptive Capacity,Infrastructure_Score
Agriculture,Livestock,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Description_CONTINGENCY PLAN
Agriculture,Livestock,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Description_DRRMP
Agriculture,Livestock,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Description_FORCED EVACUATION ORDINANCE
Agriculture,Livestock,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Score
Agriculture,Livestock,All Hazards,Adaptive Capacity,Social_Description_AGRICULTURAL TECHNOLOGIST
Agriculture,Livestock,All Hazards,Adaptive Capacity,Social_Description_FA
Agriculture,Livestock,All Hazards,Adaptive Capacity,Social_Description_IA
Agriculture,Livestock,All Hazards,Adaptive Capacity,Social_Description_LFT
Agriculture,Livestock,All Hazards,Adaptive Capacity,Social_Score
Agriculture,Livestock,All Hazards,Adaptive Capacity,Technology_Description_IEC
Agriculture,Livestock,All Hazards,Adaptive Capacity,Technology_Description_IEC ON CLIMATE SMART AGRICULTURE
Agriculture,Livestock,All Hazards,Adaptive Capacity,Technology_Description_ORGANIC AGRICULTURE TECHNOLOGY
Agriculture,Livestock,All Hazards,Adaptive Capacity,Technology_Description_RESEARCH STUDY ON FLOOD RESILIENT VARIETY
Agriculture,Livestock,All Hazards,Adaptive Capacity,Technology_Description_RESEARCH STUDY ON SALINITY RESILIENT VARIETY
Agriculture,Livestock,All Hazards,Adaptive Capacity,Technology_Score
Agriculture,Livestock,All Hazards,Adaptive Capacity,Wealth_Description_PCIC
Agriculture,Livestock,All Hazards,Adaptive Capacity,Wealth_Description_REHAB SEEDS FROM DEPARTMENT OF AGRICULTURE
Agriculture,Livestock,All Hazards,Adaptive Capacity,Wealth_Description_SURE AID LOAN
Agriculture,Livestock,All Hazards,Adaptive Capacity,Wealth_Description_SURE LOAN
Agriculture,Livestock,All Hazards,Adaptive Capacity,Wealth_Score
Agriculture,Livestock,All Hazards,Exposure,Ave Output Per Head (Php)
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_BOAR
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_BROILER
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_CARABAO
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_CATTLE
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_CHICKEN
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_DUCK
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_FATTENING
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_GAMEFOWL
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_GOAT
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_HOG
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_LAYER
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_PIGLET
Agriculture,Livestock,All Hazards,Exposure,Dominant Livestock_SOW
Agriculture,Livestock,All Hazards,Exposure,No Of Livestock Farming Dependent Households
Agriculture,Livestock,All Hazards,Exposure,Total Area Allocation (Hectares)
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Areas With Infrastructure Coverage
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Areas With Infrastructure Coverage_Score
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Areas Without Technical Support
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Areas Without Technical Support_Score
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Areas Without Water And Electricity
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Areas Without Water And Electricity_Score
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Farmers Without Access To Hazard Information
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Farmers Without Access To Hazard Information_Score
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Farmers Without Alternative Livelihood
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Farmers Without Alternative Livelihood_Score
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Poor Households
Agriculture,Livestock,All Hazards,Sensitivity,Percentage Of Poor Households_Score
Agriculture,Livestock,All Hazards,Sensitivity,Sensitivity Score
Agriculture,Livestock,Drought,Degree of Impact,Degree Of Impact Category
Agriculture,Livestock,Drought,Degree of Impact,Degree Of Impact Score
Agriculture,Livestock,Drought,Exposure,Area Affected By Hazard
Agriculture,Livestock,Drought,Exposure,Exposure Percentage
Agriculture,Livestock,Drought,Exposure,Exposure Score
Agriculture,Livestock,Drought,Exposure,Geographical Area Or Ecosystem
Agriculture,Livestock,Drought,Hazard,Likelihood Of Occurrence
Agriculture,Livestock,Drought,Hazard,Magnitude Or Depth
Agriculture,Livestock,Drought,Overall Risk,Risk Category
Agriculture,Livestock,Drought,Overall Risk,Risk Score
Agriculture,Livestock,Drought,Overall Risk,Severity Of Consequence Score
Agriculture,Livestock,Drought,Overall Risk,Vulnerability Category
Agriculture,Livestock,Drought,Overall Risk,Vulnerability Score
Agriculture,Livestock,Flood,Degree of Impact,Degree Of Impact Category
Agriculture,Livestock,Flood,Degree of Impact,Degree Of Impact Score
Agriculture,Livestock,Flood,Exposure,Area Affected By Hazard
Agriculture,Livestock,Flood,Exposure,Exposure Percentage
Agriculture,Livestock,Flood,Exposure,Exposure Score
Agriculture,Livestock,Flood,Exposure,Geographical Area Or Ecosystem
Agriculture,Livestock,Flood,Hazard,Likelihood Of Occurrence
Agriculture,Livestock,Flood,Hazard,Magnitude Or Depth
Agriculture,Livestock,Flood,Overall Risk,Risk Category
Agriculture,Livestock,Flood,Overall Risk,Risk Score
Agriculture,Livestock,Flood,Overall Risk,Severity Of Consequence Score
Agriculture,Livestock,Flood,Overall Risk,Vulnerability Category
Agriculture,Livestock,Flood,Overall Risk,Vulnerability Score
Agriculture,Livestock,Rain-Induced Landslide,Degree of Impact,Degree Of Impact Category
Agriculture,Livestock,Rain-Induced Landslide,Degree of Impact,Degree Of Impact Score
Agriculture,Livestock,Rain-Induced Landslide,Exposure,Area Affected By Hazard
Agriculture,Livestock,Rain-Induced Landslide,Exposure,Exposure Percentage
Agriculture,Livestock,Rain-Induced Landslide,Exposure,Exposure Score
Agriculture,Livestock,Rain-Induced Landslide,Exposure,Geographical Area Or Ecosystem
Agriculture,Livestock,Rain-Induced Landslide,Hazard,Likelihood Of Occurrence
Agriculture,Livestock,Rain-Induced Landslide,Hazard,Magnitude Or Depth
Agriculture,Livestock,Rain-Induced Landslide,Overall Risk,Risk Category
Agriculture,Livestock,Rain-Induced Landslide,Overall Risk,Risk Score
Agriculture,Livestock,Rain-Induced Landslide,Overall Risk,Severity Of Consequence Score
Agriculture,Livestock,Rain-Induced Landslide,Overall Risk,Vulnerability Category
Agriculture,Livestock,Rain-Induced Landslide,Overall Risk,Vulnerability Score
Agriculture,Livestock,Sea Level Rise,Degree of Impact,Degree Of Impact Category
Agriculture,Livestock,Sea Level Rise,Degree of Impact,Degree Of Impact Score
Agriculture,Livestock,Sea Level Rise,Exposure,Area Affected By Hazard
Agriculture,Livestock,Sea Level Rise,Exposure,Exposure Percentage
Agriculture,Livestock,Sea Level Rise,Exposure,Exposure Score
Agriculture,Livestock,Sea Level Rise,Exposure,Geographical Area Or Ecosystem
Agriculture,Livestock,Sea Level Rise,Hazard,Likelihood Of Occurrence
Agriculture,Livestock,Sea Level Rise,Hazard,Magnitude Or Depth
Agriculture,Livestock,Sea Level Rise,Overall Risk,Risk Category
Agriculture,Livestock,Sea Level Rise,Overall Risk,Risk Score
Agriculture,Livestock,Sea Level Rise,Overall Risk,Severity Of Consequence Score
Agriculture,Livestock,Sea Level Rise,Overall Risk,Vulnerability Category
Agriculture,Livestock,Sea Level Rise,Overall Risk,Vulnerability Score
Agriculture,Livestock,Storm Surge,Degree of Impact,Degree Of Impact Category
Agriculture,Livestock,Storm Surge,Degree of Impact,Degree Of Impact Score
Agriculture,Livestock,Storm Surge,Exposure,Area Affected By Hazard
Agriculture,Livestock,Storm Surge,Exposure,Exposure Percentage
Agriculture,Livestock,Storm Surge,Exposure,Exposure Score
Agriculture,Livestock,Storm Surge,Exposure,Geographical Area Or Ecosystem
Agriculture,Livestock,Storm Surge,Hazard,Likelihood Of Occurrence
Agriculture,Livestock,Storm Surge,Hazard,Magnitude Or Depth
Agriculture,Livestock,Storm Surge,Overall Risk,Risk Category
Agriculture,Livestock,Storm Surge,Overall Risk,Risk Score
Agriculture,Livestock,Storm Surge,Overall Risk,Severity Of Consequence Score
Agriculture,Livestock,Storm Surge,Overall Risk,Vulnerability Category
Agriculture,Livestock,Storm Surge,Overall Risk,Vulnerability Score
